Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq	unifrac_bp	unifrac_seq
sample_0	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		
sample_0	MetaBat2_GTDB	0.22229023500615303	0.015277390085990791	0.3195942577593507	0.2028162504671605	genome	0.26853437749070114	0.17319899320503132	0.43297360322931466	0.057693347618651275	0.20414156710124043	0.13970199776102826	0.3951714216995057	0.579646925041478	0.3675260114704989	0.036344185391050776	0.8706058439481771	0.025792680582266525	0.05455151447274395	0.8327777032830583	0.029304857901816354	0.6048285783004943	0.4203530749585221	0.9609800881513295	0.9289142011307505	NA	0.15875005114324248	0.09616507325530603	0.012973437905748567	0.011146968592562544	0.09913464365455081	0.07368316092052045	0.11632881857573327	0.07624632102148769	0.010836265214302355	0.00954281653801779	0.33717053457099694	0.03097213226267165		
sample_0	CONCOCT_GTDB	0.27589579735983516	0.03493833216348278	0.45449697974406056	0.19519592331455665	genome	0.5515983878589146	0.2723578386249919	0.4659604556733542	0.09890863777909704	0.471052691642603	0.22443209545070977	0.4178108351308204	0.5849123428369045	0.4738937342158027	0.08417097343310036	0.6829714411672195	0.02062936609429399	0.0936255639995294	0.6223114321115473	0.022817453648773234	0.5821891648691796	0.4150876571630954	0.9857169292298303	0.9686203015389181	NA	0.46261250423771416	0.17009433937386687	0.0173188425653353	0.013481423627893735	0.17666601929589032	0.11522872844401975	0.3789461971604204	0.13690249216799938	0.016684971225891097	0.011877215306806676	0.3884166465723692	0.056143341472602463		
sample_0	SemiBin_GTDB	0.2706910668324452	0.013830885680758171	0.8763190600238442	0.8121685536838011	genome	0.21915522388139727	0.19662476198560608	0.4227948611362824	0.028711819196619363	0.16570241573159927	0.1536784053931347	0.10266098027671944	0.19158878504672894	0.3016597527609134	0.017108725639781785	0.8143648138625134	0.023022702660355554	0.06413542537224427	0.7707524127496924	0.02500753566390296	0.8973390197232806	0.8084112149532711	0.9967185197196898	0.9936970343491877	NA	0.1266143189153499	0.11181044874985054	0.012074298591957718	0.011493563622144272	0.08586953634128598	0.08045012088439339	0.09282985392149384	0.08534785044315248	0.010162653025409188	0.009712169908691077	0.2765471085543594	0.01461545340968528		
sample_0	DAS Tool_GTDB	0.21959209592801304	0.010498166631887325	0.9391125146486495	0.9156405302100168	genome	0.1932366908695376	0.17158586292686598	0.36890396822300564	0.02308134455457339	0.15651790301133772	0.139923179691053	0.05527075959796823	0.119752314946316	0.23243918631603389	0.011926378007170868	0.9503216231603494	0.013258248807104165	0.011074213170157981	0.8557699519607649	0.02929442192219955	0.9447292404020318	0.880247685053684	0.9977711240590177	0.9942163965386306	NA	0.10755318066162033	0.09430673460239196	0.01188868002899236	0.011402243147016272	0.08324967985790768	0.07657656663358724	0.08613596351859451	0.07619036557468561	0.01022125330957441	0.00971344337129345	0.22920215145002032	0.011693988774854808		
sample_1	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		
sample_1	MetaBat2_GTDB	0.2207983301382123	0.014461135034788236	0.3640307516374568	0.16009790394509107	genome	0.27348699513498803	0.1894203080610249	0.42442129261775235	0.05733807890723284	0.20923207822960158	0.15345912613718174	0.3668268082882987	0.5983611655316106	0.3487171172571485	0.03600532068550852	0.8593735580169339	0.02470661693576868	0.05798960743902709	0.8177350737564714	0.029353323240278617	0.6331731917117013	0.40163883446838944	0.9723262952389283	0.9285241106642144	NA	0.1626195095830494	0.10644082301469557	0.01262282474998797	0.011314660368816551	0.09878813689472352	0.07988544049928076	0.11996342869271179	0.08467474804195432	0.010731732940303539	0.00972258455810169	0.3191877607781406	0.03087274022021726		
sample_1	CONCOCT_GTDB	0.24150933566647448	0.031398426635674125	0.4071263293526283	0.14912790693852168	genome	0.5084416222883755	0.25614937109520747	0.44160309967626243	0.10143157906111408	0.4253380472206987	0.21131247154386074	0.47232848629798596	0.636031487478341	0.45768878818586245	0.08626687626942912	0.6912172753953834	0.020565535631797468	0.09685354758340547	0.6314032627110792	0.02354790864388788	0.527671513702014	0.363968512521659	0.9849775089484978	0.9639728839932129	NA	0.4021126732203508	0.1572025216832997	0.01645248140886993	0.012764455988062978	0.16782416959571064	0.10948985824304425	0.32068052441456074	0.12688933759750817	0.015716237675814183	0.01127343455960319	0.37967446068627814	0.05892670397416691		
sample_1	SemiBin_GTDB	0.2549872776913696	0.013544682785477396	0.8731029503160973	0.7687325866840359	genome	0.22184013002651204	0.20807403908352426	0.40160255565635367	0.02725612641678853	0.16770365615117494	0.1601332071359494	0.10357047973342937	0.1733916430352933	0.28444765809981826	0.01638585270927246	0.8344962992284157	0.019425305442026582	0.05358263379527592	0.802301229672857	0.021747613370355277	0.8964295202665706	0.8266083569647067	0.9970386290644744	0.9941643347441252	NA	0.127923471483467	0.1188546852708854	0.01182475095387542	0.011324228110525573	0.08669133577513013	0.08232888735609771	0.09363836148487997	0.08894275097935658	0.009866607891047633	0.00946725162422637	0.2587649295569946	0.01385651168154712		
sample_1	DAS Tool_GTDB	0.20712748882496376	0.010922968745451329	0.9516870288417671	0.8286843397207597	genome	0.20427662894725873	0.18257920244194195	0.34843356162273803	0.02465689960596354	0.16861781875225618	0.1508411384405423	0.04481977553404071	0.15609861591695506	0.21684650029345887	0.012943418450865395	0.9429187434510418	0.015437983670315712	0.017159856465955282	0.8637546948657904	0.027508215200393683	0.9551802244659593	0.8439013840830449	0.9984109869102454	0.9903747101464351	NA	0.114546114327156	0.10107530591076247	0.011974321307554117	0.011510612407209112	0.08889830988145762	0.08214640275317775	0.09342819943133931	0.0826361166340685	0.010306196358065497	0.009818219735441691	0.21308093887521387	0.012511224720585634		
